ts,pair,state,score,mean,std,history_len,n_components,sharpe
1760318820,XBT/USD,1,1.67286150e-01,3.03002451e-03,1.81128235e-02,365,3,1.67286150e-01
1760318825,ETH/USD,1,3.65566999e-01,8.80198486e-03,2.40776243e-02,365,3,3.65566999e-01
1760318828,LTC/USD,0,1.06840225e-01,2.87160602e-03,2.68775737e-02,365,3,1.06840225e-01
1760318830,XRP/USD,1,1.58327357e-02,4.52651918e-04,2.85896213e-02,365,3,1.58327357e-02
1760318832,XMR/USD,0,-1.02405595e-01,-1.97547746e-03,1.92907180e-02,365,3,-1.02405595e-01
1760318835,BCH/USD,1,-1.31034291e-01,-3.29883074e-03,2.51753240e-02,365,3,-1.31034291e-01
1760318835,ADA/USD,1,1.67458089e-01,6.25131999e-03,3.73306541e-02,365,3,1.67458089e-01
1760318837,DOT/USD,0,3.28441869e-01,1.17766347e-02,3.58560702e-02,365,3,3.28441869e-01
1760318839,LINK/USD,2,6.53494032e-01,2.86452625e-02,4.38340078e-02,365,3,6.53494032e-01
1760318846,SOL/USD,1,8.93348857e-03,3.38400598e-04,3.78800057e-02,365,3,8.93348857e-03
1760318848,UNI/USD,1,8.61827410e-02,2.60500574e-03,3.02265362e-02,365,3,8.61827410e-02
1760318848,AAVE/USD,0,3.03780646e-02,1.30126869e-03,4.28357995e-02,365,3,3.03780646e-02
1760318851,COMP/USD,0,-1.87646949e-02,-5.40918334e-04,2.88263858e-02,365,3,-1.87646949e-02
1760318855,SUSHI/USD,0,1.39036289e-01,5.41719554e-03,3.89624577e-02,365,3,1.39036289e-01
1760318855,ALGO/USD,2,-6.96631147e-02,-2.72348652e-03,3.90951013e-02,365,3,-6.96631147e-02
1760318856,ATOM/USD,2,1.00422658e-01,3.23581888e-03,3.22220001e-02,365,3,1.00422658e-01
1760318858,FIL/USD,2,4.08223007e-02,1.46704604e-03,3.59373680e-02,365,3,4.08223007e-02
1760318859,TRX/USD,1,3.22774295e-01,5.55174192e-03,1.72000745e-02,365,3,3.22774295e-01
1760318861,XTZ/USD,0,-9.90363585e-02,-3.07224151e-03,3.10213497e-02,365,3,-9.90363585e-02
1760318867,XBT/USD,2,3.71846736e-02,3.94839469e-04,1.06183390e-02,365,3,3.71846736e-02
1760318871,ETH/USD,1,-2.24454085e-02,-4.93263849e-04,2.19761583e-02,365,3,-2.24454085e-02
1760318873,LTC/USD,2,4.65781232e-02,1.25783724e-03,2.70048932e-02,365,3,4.65781232e-02
1760318876,XRP/USD,2,-3.30510511e-02,-7.25683856e-04,2.19564532e-02,365,3,-3.30510511e-02
1760318877,XMR/USD,0,9.27712801e-02,2.61453056e-03,2.81825426e-02,365,3,9.27712801e-02
1760318880,BCH/USD,0,-6.37004988e-02,-1.52993775e-03,2.40176730e-02,365,3,-6.37004988e-02
1760318880,ADA/USD,0,4.63553027e-02,2.26512312e-03,4.88643799e-02,365,3,4.63553027e-02
1760318882,DOT/USD,0,-1.01432157e-02,-3.06484758e-04,3.02157390e-02,365,3,-1.01432157e-02
1760318884,LINK/USD,1,4.96342599e-02,1.90378095e-03,3.83561868e-02,365,3,4.96342599e-02
1760318887,AAVE/USD,1,-1.17053175e-01,-3.83515355e-03,3.27641993e-02,365,3,-1.17053175e-01
1760318888,COMP/USD,2,-5.71143813e-02,-1.94965268e-03,3.41359328e-02,365,3,-5.71143813e-02
1760318888,SUSHI/USD,0,1.45135646e-02,9.30548250e-04,6.41157619e-02,365,3,1.45135646e-02
1760318890,ATOM/USD,0,2.02913517e-02,6.37108632e-04,3.13980380e-02,365,3,2.02913517e-02
1760318890,FIL/USD,2,-3.23507906e-02,-1.48809827e-03,4.59988225e-02,365,3,-3.23507906e-02
1760318890,TRX/USD,0,4.51328391e-02,1.14886790e-03,2.54552543e-02,365,3,4.51328391e-02
1760318891,XTZ/USD,0,-1.31832748e-01,-5.39328837e-03,4.09100809e-02,365,2,-1.31832748e-01
1760328015,XBT/USD,2,-6.80554728e-02,-1.29583664e-03,1.90408881e-02,365,3,-6.80554728e-02
1760328021,XBT/USD,2,2.90706555e-02,3.07804879e-04,1.05881644e-02,365,3,2.90706555e-02
1760328024,ETH/USD,2,-1.49862890e-01,-4.71262256e-03,3.14462276e-02,365,3,-1.49862890e-01
1760328027,ETH/USD,1,-2.32265065e-02,-5.10447645e-04,2.19769445e-02,365,3,-2.32265065e-02
1760328029,LTC/USD,0,4.08707776e-01,1.31107132e-02,3.20784529e-02,365,3,4.08707776e-01
1760328030,LTC/USD,2,5.27409458e-02,1.42869210e-03,2.70888600e-02,365,3,5.27409458e-02
1760328033,XRP/USD,1,-7.32086634e-02,-2.22489738e-03,3.03911760e-02,365,3,-7.32086634e-02
1760328036,XRP/USD,2,-2.21849529e-02,-4.83454986e-04,2.17920222e-02,365,3,-2.21849529e-02
1760328039,XMR/USD,0,-1.02405595e-01,-1.97547746e-03,1.92907180e-02,365,3,-1.02405595e-01
1760328040,XMR/USD,0,9.35550898e-02,2.63694909e-03,2.81860570e-02,365,3,9.35550898e-02
1760328041,BCH/USD,1,-2.48522971e-01,-6.12092386e-03,2.46292077e-02,365,3,-2.48522971e-01
1760328043,BCH/USD,0,-6.60129104e-02,-1.58481497e-03,2.40076519e-02,365,3,-6.60129104e-02
1760328046,ADA/USD,0,-7.21833935e-01,-2.33568707e-02,3.23576789e-02,365,3,-7.21833935e-01
1760328047,ADA/USD,0,4.65657925e-02,2.27541321e-03,4.88644795e-02,365,3,4.65657925e-02
1760328049,DOT/USD,0,-9.87701407e-02,-3.40159456e-03,3.44395031e-02,365,3,-9.87701407e-02
1760328051,DOT/USD,0,-2.41193650e-03,-7.33277973e-05,3.04020430e-02,365,3,-2.41193650e-03
1760328054,LINK/USD,0,7.62546029e-02,4.47618642e-03,5.87005407e-02,365,3,7.62546029e-02
1760328056,LINK/USD,1,5.03259026e-02,1.93017483e-03,3.83535065e-02,365,3,5.03259026e-02
1760328059,SOL/USD,2,1.90676252e-01,7.16763895e-03,3.75906223e-02,365,3,1.90676252e-01
1760346042,ATOM/USD,1,-1.63008098e-01,-4.81354631e-03,2.95294918e-02,365,3,-1.63008098e-01
1760346043,FIL/USD,1,-1.79411947e-01,-6.18876803e-03,3.44947376e-02,365,3,-1.79411947e-01
1760346046,TRX/USD,1,2.85183982e-01,3.55589209e-03,1.24687651e-02,365,3,2.85183982e-01
1760346046,XTZ/USD,0,-9.63243636e-03,-2.73405853e-04,2.83838733e-02,365,3,-9.63243636e-03
1760346047,ATOM/USD,0,2.32372087e-02,7.30221660e-04,3.14246719e-02,365,3,2.32372087e-02
1760346048,FIL/USD,2,-3.11493366e-02,-1.43294384e-03,4.60023871e-02,365,3,-3.11493366e-02
1760346048,TRX/USD,0,4.51688804e-02,1.14978283e-03,2.54551989e-02,365,3,4.51688804e-02
1760346048,XTZ/USD,0,-6.25581791e-02,-2.67606758e-03,4.27772615e-02,365,3,-6.25581791e-02
