ts,pair,state,score,mean,std,history_len,n_components,sharpe
1760414415,XBT/USD,2,-4.21868769e-02,-8.59532206e-04,2.03743977e-02,365,3,-4.21868769e-02
1760414416,XBT/USD,0,2.80814037e-02,2.98427803e-04,1.06272395e-02,365,3,2.80814037e-02
1760414420,ETH/USD,2,-4.69523804e-02,-2.09265305e-03,4.45696902e-02,365,3,-4.69523804e-02
1760414422,ETH/USD,0,-2.46869586e-02,-5.44276350e-04,2.20471204e-02,365,3,-2.46869586e-02
1760414428,LTC/USD,0,1.13864174e-01,2.63634277e-03,2.31533999e-02,365,3,1.13864174e-01
1760414430,LTC/USD,2,4.18130787e-02,1.12478857e-03,2.69004007e-02,365,3,4.18130787e-02
1760414433,XRP/USD,2,-1.40515416e-01,-4.26186047e-03,3.03301986e-02,365,3,-1.40515416e-01
